idx,orig_label,fidelity_drop,confidence,stability_no_stopwords,stability_no_punct,topk_overlap,xai_change,label_flip,robust_expl,fidelity_norm,stability_norm,agreement_norm,robustness_norm,ERS
74,neutral,-2.8014183044433594e-06,0.9991012811660768,0.4,0.2,0.0,0.6,0,0.4,0.007881701965001724,0.4987531172069836,0.0,0.4987531172069836,0.25134698409474227
75,negative,0.9933313764631748,0.9983929991722108,0.6,0.8,0.375,0.4,0,0.6,0.9947642816978209,0.7481296758104754,0.4279600570613415,0.7481296758104754,0.7297459225950282
76,positive,0.9973300663405098,0.9981274008750916,0.4,0.4,0.375,0.6,0,0.4,0.998737000516489,0.4987531172069836,0.4279600570613415,0.4987531172069836,0.6060508229979494
77,neutral,0.0005773305892944,0.9991359114646912,0.2,0.4,0.5,0.8,0,0.19999999999999996,0.00845806607789852,0.2493765586034918,0.570613409415122,0.24937655860349175,0.269456148175001
78,positive,0.0869386196136474,0.9987855553627014,0.4,0.6,0.5,0.6,0,0.4,0.09425844786197746,0.4987531172069836,0.570613409415122,0.4987531172069836,0.4155945229227667
79,neutral,-3.415346145629883e-05,0.9991719722747804,0.2,0.8,0.5,0.8,0,0.19999999999999996,0.007850553549982334,0.2493765586034918,0.570613409415122,0.24937655860349175,0.269304270043022
80,positive,0.99726412439486,0.9976971745491028,0.6,0.8,0.5,0.4,1,0.6,0.9986714868566507,0.7481296758104754,0.570613409415122,0.7481296758104754,0.7663860619731808
81,neutral,-0.0001430511474609,0.9989516735076904,0.2,0.4,0.125,0.8,0,0.19999999999999996,0.007742363142681178,0.2493765586034918,0.1426533523537805,0.24937655860349175,0.1622872081758613
82,negative,0.9961442921776325,0.9985370635986328,0.4,0.8,0.5,0.6,0,0.4,0.9975589278286683,0.4987531172069836,0.570613409415122,0.4987531172069836,0.6414196429144393
83,positive,0.9985494775464758,0.9990655779838562,0.4,0.8,0.625,0.6,0,0.4,0.999948491778438,0.4987531172069836,0.7132667617689025,0.4987531172069836,0.6776803719903269
84,neutral,-0.0001616477966308,0.9990400671958924,0.2,0.2,0.375,0.8,0,0.19999999999999996,0.007723887276738139,0.2493765586034918,0.4279600570613415,0.24937655860349175,0.2336092653862658
85,neutral,4.470348358154297e-06,0.998898148536682,0.6,0.2,0.375,0.4,0,0.6,0.007888926502325613,0.7481296758104754,0.4279600570613415,0.7481296758104754,0.4830270837961545
86,neutral,-0.0002934336662292,0.9987356066703796,0.4,0.4,0.25,0.6,0,0.4,0.007592957342122399,0.4987531172069836,0.285306704707561,0.4987531172069836,0.32260147411591267
